|      x       |      y       |signed |   op    |      z       |  of   |  eq   |
|   10101010   |   11111111   |   0   |   000   |   00000000   |   0   |   0   |
|   10101010   |   10011011   |   0   |   001   |   10001010   |   0   |   0   |
|   10101010   |   10011011   |   0   |   010   |   10111011   |   0   |   0   |
|   10101010   |   10011011   |   0   |   011   |   00110001   |   0   |   0   |
|   00100110   |   00100110   |   0   |   100   |   01001100   |   0   |   1   |
|   10000100   |   10101000   |   0   |   100   |   00101100   |   1   |   0   |
|   10001110   |   01000100   |   1   |   100   |   11010010   |   0   |   0   |
|   10010000   |   10111100   |   1   |   100   |   01001100   |   1   |   0   |
|   01011111   |   00100000   |   0   |   101   |   00111111   |   0   |   0   |
|   00100000   |   01011111   |   0   |   101   |   11000001   |   1   |   0   |
|   00100000   |   01000100   |   1   |   101   |   11011100   |   0   |   0   |
|   00100000   |   10111100   |   1   |   101   |   01100100   |   0   |   0   |
|   00010110   |   10010100   |   1   |   101   |   10000010   |   1   |   0   |
|   00100000   |   00000111   |   0   |   110   |   11100000   |   0   |   0   |
|   00101011   |   00011111   |   0   |   110   |   00110101   |   1   |   0   |
|   00001101   |   11111001   |   1   |   111   |   10100101   |   0   |   0   |
|   00010110   |   11110011   |   0   |   111   |   11100010   |   1   |   0   |
